productId,name,description,size,color,gender,price,createdAt,categoryId,image
17,Chino Trousers,Classic chino trousers for a polished look,34x32,Beige,Men,54.99,2024-06-28 20:11:06.870791,3,https://i.ibb.co/89hrvq8/26.webp
18,Kids Sweatpants,Cozy sweatpants for active kids,M,Blue,Children,24.99,2024-06-28 20:11:06.870791,3,https://i.ibb.co/yQGBptd/27.webp
19,Wide Leg Pants,Fashionable wide leg pants for comfort and style,M,Black,Women,59.99,2024-06-28 20:11:06.870791,3,https://i.ibb.co/0CtRHBz/28.webp
20,Running Shoes,Durable running shoes for active individuals,9,Black/White,Children,89.99,2024-06-28 20:11:06.870791,4,https://i.ibb.co/fGSnDkc/10.webp
21,High Heels,Elegant high heels for special occasions,7,Red,Women,69.99,2024-06-28 20:11:06.870791,4,https://i.ibb.co/BgV2sHh/11.webp
22,Casual Sneakers,Comfortable sneakers for everyday wear,10,Navy Blue,Men,54.99,2024-06-28 20:11:06.870791,4,https://i.ibb.co/Z8cTH9K/12.webp
23,Hiking Boots,Sturdy hiking boots for outdoor adventures,8,Brown,Men,79.99,2024-06-28 20:11:06.870791,4,https://i.ibb.co/ZVzLTNZ/29.webp
24,Ankle Strap Sandals,Trendy ankle strap sandals for warm days,6,Brown,Women,39.99,2024-06-28 20:11:06.870791,4,https://i.ibb.co/jyHcwZF/30.webp
25,Kids Velcro Sneakers,Easy-to-wear velcro sneakers for kids,11,Pink/Blue,Children,29.99,2024-06-28 20:11:06.870791,4,https://i.ibb.co/KLW7Yxm/31.webp
26,Leather Boots,Durable leather boots for rugged style,11,Black,Men,119.99,2024-06-28 20:11:06.870791,4,https://i.ibb.co/YWFNS7Y/32.webp
27,Ballet Flats,Comfortable and stylish ballet flats,8,Pink,Women,49.99,2024-06-28 20:11:06.870791,4,https://i.ibb.co/gmFLRrR/33.webp
28,Leather Tote Bag,Spacious leather tote bag for daily essentials,,Brown,Women,119.99,2024-06-28 20:11:06.870791,5,https://i.ibb.co/C19NWcq/13.webp
29,Crossbody Purse,Compact crossbody purse for on-the-go style,,Black,Women,49.99,2024-06-28 20:11:06.870791,5,https://i.ibb.co/Hxqs0tV/14.webp
30,Canvas Backpack,Casual canvas backpack for a laid-back look,,Gray,Children,34.99,2024-06-28 20:11:06.870791,5,https://i.ibb.co/1LZtNVj/15.webp
31,Satchel Bag,Chic satchel bag for a sophisticated look,,Brown,Women,89.99,2024-06-28 20:11:06.870791,5,https://i.ibb.co/LYPGQDs/34.webp
32,Messenger Bag,Stylish messenger bag for a modern and casual vibe,,Olive Green,Men,59.99,2024-06-28 20:11:06.870791,5,https://i.ibb.co/F4GKxr2/35.webp
33,Kids Mini Backpack,Adorable mini backpack for little ones,,Purple/Pink,Children,29.99,2024-06-28 20:11:06.870791,5,https://i.ibb.co/cXLKqLQ/36.webp
34,Weekender Bag,Large weekender bag for short trips,,Navy Blue,Women,89.99,2024-06-28 20:11:06.870791,5,https://i.ibb.co/WcpbH0B/37.webp
35,Sports Backpack,Durable backpack for sports or school,,Blue,Children,49.99,2024-06-28 20:11:06.870791,5,https://i.ibb.co/VH9MCk3/38.webp
36,Classic Watch,Timeless wristwatch for a polished appearance,,Silver,Children,79.99,2024-06-28 20:11:06.870791,6,https://i.ibb.co/Vm9zwg8/16.webp
37,Statement Necklace,Bold statement necklace for a fashionable look,,Gold,Women,29.99,2024-06-28 20:11:06.870791,6,https://i.ibb.co/bPw8GPb/17.webp
38,Leather Belt,Stylish leather belt to complete your outfit,36,Brown,Men,19.99,2024-06-28 20:11:06.870791,6,https://i.ibb.co/Nt53mk5/18.webp
39,Smartwatch,Modern smartwatch with advanced features,,Black,Men,129.99,2024-06-28 20:11:06.870791,6,https://i.ibb.co/RTG4CkJ/39.webp
40,Boho Earrings,Bohemian-inspired earrings for a free-spirited style,,Turquoise,Women,24.99,2024-06-28 20:11:06.870791,6,https://i.ibb.co/dGhtzRF/40.webp
41,Kids Sunglasses,Cute sunglasses for kids with UV protection,,Blue/Yellow,Children,14.99,2024-06-28 20:11:06.870791,6,https://i.ibb.co/nR4V3qZ/41.webp
42,Sunglasses,Modern sunglasses for stylish sun protection,,Black,Men,49.99,2024-06-28 20:11:06.870791,6,https://i.ibb.co/fpX2n1r/42.webp
43,Silk Scarf,Elegant silk scarf for a touch of luxury,,White/Blue,Women,39.99,2024-06-28 20:11:06.870791,6,https://i.ibb.co/QYWTrkf/43.webp
